lambda_curl,lambda_smooth,overlap_fraction,reg,window_size,iccoh_mean,cbdir_mean,elapsed_seconds,status,cbdir_Phase_1_to_Phase_2,cbdir_Phase_2_to_Phase_3,cbdir_Phase_3_to_Phase_4,iccoh_Phase_1,iccoh_Phase_2,iccoh_Phase_3,iccoh_Phase_4
0.1,0.1,0.0,0.01,50,0.9140197602371627,0.8723067825185887,10.226125240325928,ok,0.9214041237997793,0.7990472989087809,0.8964689248472059,0.965266076207161,0.9502387581318616,0.8588950589004671,0.881679147709161
0.1,0.1,0.0,0.01,100,0.9311174657043302,0.8665080280246521,7.919283628463745,ok,0.9217093741050295,0.7812042629128905,0.8966104470560368,0.9646288394331932,0.956105342566967,0.9122377162356861,0.8914979645814747
0.1,0.1,0.0,0.01,200,0.9453470261497423,0.8688255862531227,9.365586042404175,ok,0.9217093741050295,0.7880080165746,0.8967593680797386,0.960995222389698,0.9585766883045435,0.94620598879084,0.9156102051138878
0.1,0.1,0.0,0.05,50,0.9503200552142226,0.8687735524697673,9.731571197509766,ok,0.9182668289958178,0.7937551119081094,0.8942987165053746,0.9632656291127205,0.9637670409083366,0.9444239749517291,0.9298235758841038
0.1,0.1,0.0,0.05,100,0.9537583074122667,0.8678256210195427,8.975692987442017,ok,0.921471957200946,0.789030153849349,0.8929747520083332,0.9612744178771973,0.9631464178562165,0.9546445181071759,0.9359678758084774
0.1,0.1,0.0,0.05,200,0.9486923944540322,0.8695379872770168,9.261448621749878,ok,0.9186188481576866,0.7964292173949568,0.8935658962784073,0.9376248283237218,0.9623483216017484,0.961339179739356,0.9334572481513024
0.1,0.1,0.0,0.1,50,0.949113544553984,0.8700638991315678,9.538443088531494,ok,0.921471957200946,0.7946766446744492,0.8940430955193077,0.9626081866025925,0.9632383711636067,0.9431600201446563,0.9274476003050804
0.1,0.1,0.0,0.1,100,0.9530240339701995,0.8682301942142994,9.2656090259552,ok,0.921471957200946,0.7899611646893716,0.8932574607525804,0.9606737687587737,0.9625427772402764,0.9536517344377935,0.9352278554439545
0.1,0.1,0.0,0.1,200,0.9477974502816796,0.8699916880884294,8.033241271972656,ok,0.9188702307620102,0.7971814421558371,0.8939233913474407,0.9360266347676516,0.9619399424791336,0.9606789938360453,0.9325442300438881
0.1,0.1,0.05,0.01,50,0.9197650629918208,0.8692843981155741,8.248469829559326,ok,0.9217093741050295,0.7913435204862937,0.8948002997553991,0.9671979385614395,0.9500628067553043,0.8556654544633348,0.9061340521872043
0.1,0.1,0.05,0.01,100,0.9331894397175928,0.8675590188145762,7.6819493770599365,ok,0.9182668289958178,0.78661757194437,0.8977926555035408,0.9646416662335395,0.9602112309336662,0.9272313766311854,0.8806734850719804
0.1,0.1,0.05,0.01,200,0.9420035555926152,0.8689023314343897,7.632953882217407,ok,0.9219607567093535,0.7910807477518873,0.8936654898419283,0.9604500282406807,0.9591586760729551,0.9481882739551365,0.9002172441016882
0.1,0.1,0.05,0.05,50,0.9497325412351638,0.8687302943680179,9.931570768356323,ok,0.9185720793010682,0.7929877492341804,0.8946310545688051,0.9631532248258591,0.9628872072100639,0.9449651864841581,0.9279245464205742
0.1,0.1,0.05,0.05,100,0.9539183771163227,0.8676352067193133,9.035645484924316,ok,0.9182668289958178,0.7916377406659518,0.8930010504961701,0.9619709432125092,0.9634177920520306,0.9548288153111935,0.9354559578895569
0.1,0.1,0.05,0.05,200,0.9472084088660776,0.8691195519617455,8.543485403060913,ok,0.91856498045676,0.7956216847613662,0.8931719906671103,0.934029233917594,0.9612349033504725,0.961278672888875,0.9322908253073693
0.1,0.1,0.05,0.1,50,0.9477927844822407,0.8692662135592651,8.392324209213257,ok,0.9217772075061964,0.791152918727325,0.8948685144442741,0.9626208379864692,0.9624641548991203,0.9430365638285876,0.9230495812147855
0.1,0.1,0.05,0.1,100,0.95307745765429,0.868100138089155,7.747456073760986,ok,0.921471957200946,0.7899652368503901,0.8928632202161291,0.9612502957582474,0.9626703520417214,0.9538305209688842,0.9345586618483066
0.1,0.1,0.05,0.1,200,0.9461785534247756,0.868605893633513,7.852248668670654,ok,0.9191430076305318,0.7929443764401951,0.8937302968298121,0.9324781639873981,0.9604873891919852,0.9604618004411459,0.9312868600785732
0.1,0.1,0.1,0.01,50,0.9126874419136329,0.8709640352264882,10.43641471862793,ok,0.9217093741050295,0.7950194958452762,0.896163235729159,0.9624802934527397,0.9556234186738729,0.8399266984499555,0.8927193570779637
0.1,0.1,0.1,0.01,100,0.9274536073497948,0.8684389385986265,8.685071229934692,ok,0.9217093741050295,0.7870001798553896,0.8966072618354602,0.9622768119573594,0.9600673293471337,0.9234171989983879,0.8640530890962982
0.1,0.1,0.1,0.01,200,0.9413038280019537,0.8705244955856711,10.091333627700806,ok,0.9219607567093535,0.7912612812530103,0.8983514487946496,0.9587970014214515,0.9590106866359711,0.9423751374036073,0.9050324865467846
0.1,0.1,0.1,0.05,50,0.948511327963788,0.8684996580507018,13.789993286132812,ok,0.9185720793010682,0.792557278190729,0.8943696166603085,0.9639090566635132,0.9630576667189598,0.9419172194916755,0.9251613689810038
0.1,0.1,0.1,0.05,100,0.9518156042480842,0.867615891445027,10.01639175415039,ok,0.9182668289958178,0.7913233845866832,0.8932574607525804,0.9605238552689552,0.9627504085004329,0.9529962935633958,0.9309918596595526
0.1,0.1,0.1,0.05,200,0.9479468502961099,0.8705534832228352,9.044028282165527,ok,0.921471957200946,0.7964581956377477,0.8937302968298121,0.9374872462004423,0.9616768394112587,0.9596882102787495,0.9329351052939892
0.1,0.1,0.1,0.1,50,0.9464394968170673,0.8699142473617663,8.786095380783081,ok,0.9217772075061964,0.7935077900074257,0.8944577445716769,0.9633117271661759,0.96236376491189,0.9397305165231228,0.9203519786670804
